ccode,country name,1500,1501,1502,1503,1504,1505,1506,1507,1508,1509,1510,1511,1512,1513,1514,1515,1516,1517,1518,1519,1520,1521,1522,1523,1524,1525,1526,1527,1528,1529,1530,1531,1532,1533,1534,1535,1536,1537,1538,1539,1540,1541,1542,1543,1544,1545,1546,1547,1548,1549,1550,1551,1552,1553,1554,1555,1556,1557,1558,1559,1560,1561,1562,1563,1564,1565,1566,1567,1568,1569,1570,1571,1572,1573,1574,1575,1576,1577,1578,1579,1580,1581,1582,1583,1584,1585,1586,1587,1588,1589,1590,1591,1592,1593,1594,1595,1596,1597,1598,1599,1600,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1629,1630,1631,1632,1633,1634,1635,1636,1637,1638,1639,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688,1689,1690,1691,1692,1693,1694,1695,1696,1697,1698,1699,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
12,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.59621,8.115622,,,,,,,,,12.596606,13.605609,10.95035,15.88441,20.21865,21.983427,,,,,,,,,,,14.097694,14.62295,,25.15754,10.05755,33.644875,32.623833,,,,,,19.231459,19.24068,,11.736289,,23.42326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.35238,77.94622,111.6522,97.00042,91.47425,139.47705,105.61798,93.04743,129.61543,86.8147,,,210.783042,202.313799,238.127789,252.86855,171.308086,138.262085,,130.542059,131.50151,182.484721,197.07985,176.749258,156.12826,184.53579,151.212497,158.81991,160.09479,158.93277,,186.22861,193.09488,181.006128,184.747261,171.044397,186.96602,197.11002,253.248241,195.85805,168.62078,159.522781,165.59864,147.358569,169.17832,141.55251,,,154.69578,152.917,,,148.777092,181.829035,165.69023,,260.137171,258.34893,276.04181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.26461,251.19959,324.25655,352.49609,290.17591,327.96921,437.66218,471.97398,459.9866,395.48168,503.90762,413.42266,450.82516,418.57017,478.16621,530.20335,545.24989,486.17371,221.70702,204.0959,227.43654,247.60919,304.73655,403.58217,546.00793,581.55387,612.424545,583.999725,561.860407,503.511183,627.628401,635.649119,597.85095,576.416091,636.999639,650.202659,667.25455,559.728655,617.882825,577.551125,535.846441,468.30381,443.77104,462.34853,459.548494,443.7402,421.86809,429.566742,446.159571,371.913423,388.25315,366.95487,402.73737,379.36896,463.49719,352.819261,373.96209,321.215578,309.44257,322.61487,331.688535,330.217707,334.89403,321.14325,277.334201,301.564165,241.946255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2716,61.70336,61.11031,90.03124,89.15764,88.38701,87.61747,86.74237,113.27649,111.98823,110.45131,108.48995,105.695164,72.57476,69.325312,72.141837,58.252927,59.355582,59.501436,62.73284,,62.630689,57.245905,90.62593,170.585124,166.095907,152.161304,188.709452,289.00158,235.43376,287.39253,283.43219,318.19031,389.8055,357.418916,271.609623,119.951571,129.49386,127.87371,231.755956,218.62854,537.45631,581.892816,658.25574,455.195447,552.23585,214.6208,,653.137942,469.18239,679.37039,,642.827169,632.40151,,,,609.358304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.00279,,,,,,,,411.68511,411.22681,410.83162,410.50815,409.712512,542.121929,613.458361,553.81836,696.837658,509.827396,420.99771,,564.1676,441.678619,387.827135,463.76441,435.018959,476.357176,538.365401,476.392397,533.211,588.36395,658.0108,682.569947,687.59307,632.21465,643.890098,670.513931,706.181361,728.61808,746.20384,838.746265,899.49755,850.79203,894.984406,933.97305,814.645154,872.20523,,1144.540174,1056.505653,1190.90033,1107.18536,1037.111214,1172.508723,774.637061,803.66625,614.53793,692.10705,980.203016,1007.27018,985.47212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.36956,242.74129,308.05564,329.81594,267.79611,294.56787,382.52992,401.40121,380.62343,318.35902,382.65505,352.37973,353.06063,302.95604,321.48018,351.3858,356.12513,292.13346,122.20815,102.85382,104.37388,102.99494,134.12668,192.99797,280.98995,319.556453,356.977984,303.717015,258.494655,240.267884,309.689656,288.195918,285.36165,309.955469,296.095125,305.833616,341.87409,328.746501,372.116428,320.067609,349.646956,323.62871,330.30395,277.79596,255.802004,212.47856,251.50064,240.17447,227.117622,233.367177,232.8818,202.94527,218.141572,217.10406,238.37257,213.906838,198.59522,201.737301,203.16737,228.1201,209.305475,213.718482,206.59715,236.68973,193.382893,170.96239,110.573287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.81932,114.47217,144.51114,153.97542,124.46867,138.47813,250.19461,270.19353,263.69673,227.02511,217.86508,181.22495,173.7948,142.38762,143.86639,147.18713,138.65774,113.59771,47.45309,39.87271,40.38633,39.76649,33.53986,46.59235,65.84722,73.001577,79.770479,83.048772,88.591575,78.911455,95.210249,86.111998,94.4406,117.280913,149.199042,163.090118,196.13321,198.233135,192.706029,191.494583,228.897901,224.77571,200.25284,203.71265,217.264373,224.45558,240.82777,285.450715,286.394953,285.390569,333.39384,302.02398,264.631158,246.36831,274.99191,292.855474,312.01698,328.330945,298.91251,331.53299,329.222689,343.727509,316.80025,297.20387,291.833816,292.613454,276.752985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Belgium,25.6,4.791257,9.426765,9.273548,0,0,8.8286785,0,8.544019,0,8.2685379,0,16.003878,11.807821,0,30.472283,14.9885029,14.744889,10.8789262,21.404214,42.112646,20.714087,20.377413,43.433458,39.4407856,38.7997398,31.807594,46.9359203,64.6422745,39.366241,68.5159498,23.4442902,46.1264829,79.4093508,80.9086338,85.082809,51.2999549,45.1539304,60.0976832,64.2618403,118.8486529,65.3293517,81.5129384,88.0215501,87.122885,58.9587698,72.0929322,38.9180141,50.5745561,51.9456907,94.2082799,92.5787414,82.2231636,68.9997523,82.6488786,98.4190594,114.8538648,79.3139103,78.449714,68.2490573,79.598378,113.811606,106.459368,82.0169552,135.9713335,127.907109,180.1623679,162.841985,139.223634,114.9853553,98.58053,105.4296006,117.164478,115.5504448,100.660332,101.872487,111.437721,116.101251,145.035695,164.859417,131.370723,140.1035745,143.292909,118.276373,113.942522,92.495307,85.487798,94.206613,100.8491416,82.300798,63.140761,72.5134938,75.087254,81.702773,76.161951,92.842514,100.731952,83.120063,98.3580026,89.4963558,88.6666667,80.3558176,30.6858518,47.1499514,40.0273279,42.3288633,39.9272543,46.9144839,42.1702209,84.2349447,79.455714,77.0223174,69.9327037,60.5325314,69.7578627,58.0588385,76.5418047,83.3957046,90.2323383,90.1194713,73.8516886,66.8443759,94.3859073,87.3701977,101.0389493,87.1517606,68.7179581,68.6320024,82.255385,63.8963857,50.1415051,75.1181785,79.5711393,52.2241995,61.2299836,115.5119667,52.0284708,38.4077238,58.6677483,51.8334757,42.7653982,53.9518802,67.3554932,56.0593681,69.4266654,73.8133601,73.7210308,51.3170543,89.0797067,126.8590881,91.1353802,68.821046,73.169475,73.077951,50.6851,61.85051,35.29894,70.509575,79.098298,68.135376,83.41631,109.62101,109.48389,91.85144,115.76278,109.07356,80.61348,97.92078,86.931819,119.381735,88.88234,149.395369,136.233846,125.264752,187.662098,131.414586,124.795278,92.40491,81.558007,70.738097,89.60439,68.42302,85.421795,119.440923,125.682138,148.927881,108.36888,125.2111,116.57621,57.156737,93.0278,82.353321,59.051504,124.27431,113.600316,96.649595,79.7411,114.81477,127.68542,127.525705,203.1117647,77.436314,82.4674028,76.505651,43.45401289,67.4876548,56.3479401,42.67299786,58.321713,63.2402032,83.812041,52.066796,67.278861,43.72488,51.13098,30.493677,20.2065865,12.5529961,32.4410694,37.206386,36.9821293,39.2098389,14.6150649,33.8962734,14.4394147,45.449213,21.398813,25.9964646,25.839774,21.014205,20.8875441,23.068497,52.737744,22.7912495,6.796163,15.762134,17.90529,15.572698,30.957671,19.781407,21.846863,21.715184,25.901158,30.035882,19.1924,29.674898,23.1754568,20.941609,10.407693,16.5519387,8.226087,22.484875,24.381443,14.1374893,18.0687606,55.881857,17.856544,23.669725,23.53234,50.6925,19.385246,7.709861,15.332253,30.491539,36.005609,22.613546,22.488114,22.364066,16.681034,23.963367,34.833333,20.057826,23.577454,25.25553,28.710167,23.203774,44.388138,33.558626,29.869985,34.95935,19.128676,36.331383,22.376274,23.97538,42.597262,37.297491,33.737518,140.99361,56.78672,88.085032,345.653846,80.643702,16.378116,60.306685,8.110425,9.686007,4.819973,7.995267,7.957604,7.920295,6.306667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.8412,153.0402,169.07675,143.1459,133.28478,196.3544,165.7153,167.1074,240.2439,258.6533,281.6542,261.5307,215.1962,249.8751,247.5624,242.9462,259.085,263.0396,267.4603,297.3312,379.2514,347.8596,357.5137,371.593,369.1084,434.4396,413.3216,385.4846,403.3157,407.1408,378.2578,377.2389,372.3085,368.2364,361.4603,387.9701,396.4347,422.2661,403.6003,307.264,180.4356,163.8753,157.7177,145.8225,211.72,282.4417,261.8603,161.5374,299.8035,321.65564,343.48888,276.13463,267.96559,310.86847,338.02291,444.77464,529.41176,558.27022,518.28453,517.7923,522.08012,561.51533,688.95279,671.96083,623.80839,385.33429,641.37264,558.14235,482.28585,487.27536,548.02734,628.06263,646.15385,630.94542,600.766195,584.301932,605.64257,607.990122,552.06996,536.205493,402.098444,341.44475,395.478485,423.077871,442.456053,509.06379,436.841301,478.499523,502.310651,474.751788,334.35294,880.54019,713.12719,706.062692,713.84731,661.25049,667.562678,711.394465,645.383225,534.71611,770.51088,841.708287,839.56098,944.78977,968.161672,1006.41833,980.167269,857.82671,885.59508,917.475876,909.090909,879.65686,921.56187,947.0862,966.119213,989.436581,983.458722,1002.42673,994.6035,1080.617696,1135.44843,1148.54856,1189.8288,1233.1372,1286.0926,1289.896,1295.2211,1355.4151,1386.627,1321.6694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.605492,56.675882,51.487688,56.510154,54.796919,73.07645,71.074245,72.719774,76.702714,74.99846,52.970964,,65.541662,61.673346,,,,,68.64686,,87.304737,88.823681,96.103871,,112.93271,179.43066,,154.4447,,,,148.64216,,157.269171,154.197784,,,,,,,176.61121,127.06294,133.985852,156.16592,113.69411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
